Ranking,Title,Year,Duration,Classification,Rating,Numbers
105,Amélie,2001,2h 2m,R,8.3,781K
106,Scarface,1983,2h 50m,18+,8.3,890K
107,Full Metal Jacket,1987,1h 56m,R,8.3,774K
108,A Clockwork Orange,1971,2h 16m,X,8.3,864K
109,Incendies,2010,2h 11m,R,8.3,191K
110,Heat,1995,2h 50m,R,8.3,698K
111,Up,2009,1h 36m,PG,8.3,1.1M
112,Hamilton,2020,2h 40m,PG-13,8.3,107K
113,To Kill a Mockingbird,1962,2h 9m,Approved,8.3,327K
114,The Sting,1973,2h 9m,PG,8.3,274K
115,A Separation,2011,2h 3m,PG-13,8.3,254K
116,Indiana Jones and the Last Crusade,1989,2h 7m,PG-13,8.2,795K
117,Metropolis,1927,2h 33m,Not Rated,8.3,182K
118,Die Hard,1988,2h 12m,R,8.2,916K
119,Like Stars on Earth,2007,2h 42m,PG,8.3,202K
120,Snatch,2000,1h 42m,R,8.2,890K
121,Bicycle Thieves,1948,1h 29m,Not Rated,8.3,171K
122,L.A,1997,2h 18m,R,8.2,604K
123,Taxi Driver,1976,1h 54m,R,8.2,892K
124,1917,2019,1h 59m,R,8.2,647K
125,Downfall,2004,2h 36m,R,8.2,368K
126,Dangal,2016,2h 41m,Not Rated,8.3,203K
127,For a Few Dollars More,1965,2h 12m,R,8.2,268K
128,Batman Begins,2005,2h 20m,PG-13,8.2,1.5M
129,Top Gun: Maverick,2022,2h 10m,PG-13,8.3,638K
130,Some Like It Hot,1959,2h 1m,Passed,8.2,278K
131,The Kid,1921,1h 8m,Passed,8.2,132K
132,The Wolf of Wall Street,2013,3h,R,8.2,1.5M
133,The Father,2020,1h 37m,PG-13,8.2,180K
134,Green Book,2018,2h 10m,PG-13,8.2,540K
135,All About Eve,1950,2h 18m,Passed,8.2,136K
136,Judgment at Nuremberg,1961,2h 59m,Approved,8.3,82K
137,The Truman Show,1998,1h 43m,PG,8.2,1.2M
138,There Will Be Blood,2007,2h 38m,R,8.2,623K
139,Casino,1995,2h 58m,R,8.2,549K
140,Ran,1985,2h 40m,R,8.2,133K
141,Shutter Island,2010,2h 18m,R,8.2,1.4M
142,Pan's Labyrinth,2006,1h 58m,R,8.2,691K
143,The Sixth Sense,1999,1h 47m,PG-13,8.2,1M
144,Jurassic Park,1993,2h 7m,PG-13,8.2,1M
145,Unforgiven,1992,2h 10m,R,8.2,428K
146,A Beautiful Mind,2001,2h 15m,PG-13,8.2,967K
147,The Treasure of the Sierra Madre,1948,2h 6m,Passed,8.2,130K
148,No Country for Old Men,2007,2h 2m,R,8.2,1M
149,Yojimbo,1961,1h 50m,Not Rated,8.2,129K
150,Kill Bill: Vol,2003,1h 51m,R,8.2,1.2M
151,Monty Python and the Holy Grail,1975,1h 31m,PG,8.2,561K
152,The Thing,1982,1h 49m,R,8.2,452K
153,The Great Escape,1963,2h 52m,Approved,8.2,254K
154,Finding Nemo,2003,1h 40m,G,8.2,1.1M
155,Rashomon,1950,1h 28m,Not Rated,8.2,176K
156,The Elephant Man,1980,2h 4m,PG,8.2,253K
157,Chinatown,1974,2h 10m,R,8.2,342K
158,Howl's Moving Castle,2004,1h 59m,PG,8.2,428K
159,Dial M for Murder,1954,1h 45m,PG,8.2,185K
160,Gone with the Wind,1939,3h 58m,Passed,8.2,328K
161,V for Vendetta,2005,2h 12m,R,8.2,1.2M
162,Raging Bull,1980,2h 9m,R,8.1,371K
163,Prisoners,2013,2h 33m,R,8.1,777K
164,"Lock, Stock and Two Smoking Barrels",1998,1h 47m,R,8.1,605K
165,The Secret in Their Eyes,2009,2h 9m,R,8.2,218K
166,Inside Out,2015,1h 35m,PG,8.1,759K
167,Spider-Man: No Way Home,2021,2h 28m,PG-13,8.2,840K
168,"Three Billboards Outside Ebbing, Missouri",2017,1h 55m,R,8.1,539K
169,Trainspotting,1996,1h 33m,R,8.1,712K
170,The Bridge on the River Kwai,1957,2h 41m,PG,8.1,229K
